Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Date_Time,Random_Number
1,Pape Abou Cisse,Olympiacos ,0,5,0,0.0,1.0,0.0,0.0,,20.5,1,0,0,0.4,0.4,0.08,-0.4,-0.4,2020-09-03 01:38:25,82
2,Tammy Abraham,Chelsea ,1,6,2,33.3,2.33,0.78,0.17,0.5,11.3,0,0,0,0.9,0.9,0.15,0.1,0.1,2020-04-15 17:10:40,26
3,Francesco Acerbi,Lazio ,0,3,1,33.3,0.5,0.17,0.0,0.0,14.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,2020-02-09 11:03:34,43
4,Marcos Acuña,Sevilla ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-08-19 14:02:19,42
5,Tyler Adams,RB Leipzig,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-18 04:31:17,77
6,Karim Adeyemi,RB Salzburg,1,2,1,50.0,3.4,1.7,0.5,1.0,15.9,0,0,0,0.6,0.6,0.28,0.4,0.4,2020-01-03 01:03:47,45
7,Adrián,Liverpool ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-04-09 17:57:57,47
8,Nayef Aguerd,Rennes ,0,3,0,0.0,0.98,0.0,0.0,,18.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-01-13 04:48:08,61
9,Sergio Agüero,Manchester City,2,1,1,100.0,0.86,0.86,1.0,1.0,3.0,0,1,1,1.4,0.7,0.66,0.6,0.3,2020-12-23 18:31:15,51
10,Manuel Akanji,Dortmund ,0,2,1,50.0,0.5,0.25,0.0,0.0,20.1,1,0,0,0.1,0.1,0.07,-0.1,-0.1,2020-01-23 02:58:57,63
11,Marley Aké,Marseille ,0,1,0,0.0,2.31,0.0,0.0,,4.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,2020-12-28 10:08:48,4
12,Nathan Aké,Manchester City,0,1,1,100.0,0.5,0.5,0.0,0.0,7.0,0,0,0,0.1,0.1,0.15,-0.1,-0.1,2020-09-24 23:34:43,42
13,Jean-Daniel Akpa-Akpro,Lazio ,1,3,1,33.3,0.99,0.33,0.33,1.0,13.8,0,0,0,0.4,0.4,0.13,0.6,0.6,2020-02-21 06:48:07,49
14,David Alaba,Bayern Munich,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-22 08:08:29,98
15,Jordi Alba,Barcelona ,0,1,0,0.0,0.3,0.0,0.0,,14.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2020-10-12 15:11:41,53
16,Luis Alberto,Lazio ,0,5,3,60.0,1.4,0.84,0.0,0.0,20.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,2020-04-22 11:22:03,7
17,Danijel Aleksi?,Ba?ak?ehir ,0,4,2,50.0,3.33,1.67,0.0,0.0,22.4,1,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-11-08 21:40:07,18
18,Carles Aleñá,Barcelona ,0,3,0,0.0,2.18,0.0,0.0,,24.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2020-06-28 02:13:40,87
19,Trent Alexander-Arnold,Liverpool ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-10-17 06:48:51,60
20,Hasan Ali Kald?r?m,Ba?ak?ehir ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-02 23:22:51,91
21,Alisson,Liverpool ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-06-13 06:50:34,84
22,Éder Álvarez Balanta,Club Brugge,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-10-28 06:52:14,23
23,Edson Álvarez,Ajax ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-01-23 07:16:47,29
24,Jordan Amavi,Marseille ,0,1,0,0.0,0.2,0.0,0.0,,32.4,0,0,0,0.0,0.0,0.01,0.0,0.0,2020-06-29 02:00:05,76
25,Mikkel Andersen,Midtjylland ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-02 18:43:13,26
26,Felipe Anderson,Porto ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-01-17 06:57:16,23
27,Mikael Anderson,Midtjylland ,0,4,1,25.0,2.13,0.53,0.0,0.0,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-12-17 21:26:35,66
28,Joel Andersson,Midtjylland ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-04-30 09:51:35,70
29,Oleksandr Andriyevskyi,Dynamo Kyiv,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-06-16 20:31:28,83
30,Angeliño,RB Leipzig,3,9,5,55.6,1.51,0.84,0.33,0.6,14.6,0,0,0,1.3,1.3,0.14,1.7,1.7,2020-11-12 22:15:37,15
31,Faustino Anjorin,Chelsea ,0,2,0,0.0,2.28,0.0,0.0,,14.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2020-03-10 13:21:38,57
32,Marcos Antônio,Shakhtar ,0,1,1,100.0,0.37,0.37,0.0,0.0,27.1,0,0,0,0.0,0.0,0.04,0.0,0.0,2020-11-10 14:04:04,79
33,Antony,Ajax ,1,9,7,77.8,2.26,1.76,0.11,0.14,19.7,0,0,0,0.7,0.7,0.07,0.3,0.3,2020-08-18 18:54:32,21
34,Youssef El-Arabi,Olympiacos ,0,7,3,42.9,1.49,0.64,0.0,0.0,13.3,0,0,0,0.8,0.8,0.12,-0.8,-0.8,2020-04-02 04:57:55,1
35,Ronald Araújo,Barcelona ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-17 09:24:39,66
36,Ari,Krasnodar ,0,2,1,50.0,7.2,3.6,0.0,0.0,13.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,2020-04-02 13:02:14,73
37,Bright Arrey-Mbi,Bayern Munich,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-01-03 21:25:17,95
38,Sergio Arribas,Real Madrid,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-04-07 10:23:18,75
39,Kepa Arrizabalaga,Chelsea ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-03-02 04:43:37,23
40,Marco Asensio,Real Madrid,0,12,6,50.0,3.15,1.57,0.0,0.0,16.2,0,0,0,1.0,1.0,0.08,-1.0,-1.0,2020-01-13 17:23:17,69
41,Majeed Ashimeru,RB Salzburg,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-31 04:34:03,81
42,Sardar Azmoun,Zenit ,0,8,1,12.5,2.5,0.31,0.0,0.0,11.4,0,0,0,0.8,0.8,0.11,-0.8,-0.8,2020-10-16 09:48:55,6
43,César Azpilicueta,Chelsea ,0,2,0,0.0,0.5,0.0,0.0,,8.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-12-02 15:44:58,86
44,Demba Ba,Ba?ak?ehir ,1,9,3,33.3,2.46,0.82,0.11,0.33,19.4,0,0,0,1.0,1.0,0.11,0.0,0.0,2020-01-02 16:30:11,75
45,Ousseynou Ba,Olympiacos ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-01 05:07:13,78
46,Youssouph Badji,Club Brugge,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-10-09 18:58:10,63
47,Mitchel Bakker,Paris S-G,0,2,1,50.0,0.77,0.39,0.0,0.0,11.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3,2020-02-08 03:32:07,52
48,Leonardo Balerdi,Marseille ,0,1,0,0.0,0.36,0.0,0.0,,14.3,0,0,0,0.0,0.0,0.03,0.0,0.0,2020-03-31 15:24:02,45
49,Tudor B?lu??,Dynamo Kyiv,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-06-13 15:48:43,13
50,Nicolò Barella,Inter ,0,4,0,0.0,0.68,0.0,0.0,,16.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,2020-06-09 17:35:41,40
51,Romário Baró,Porto ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-08 07:31:24,65
52,Wílmar Barrios,Zenit ,0,1,0,0.0,0.18,0.0,0.0,,31.1,0,0,0,0.0,0.0,0.01,0.0,0.0,2020-01-17 03:15:19,23
53,Alessandro Bastoni,Inter ,0,2,0,0.0,0.44,0.0,0.0,,16.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2020-08-01 11:31:17,89
54,Roko Baturina,Ferencváros ,0,1,1,100.0,2.37,2.37,0.0,0.0,8.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,2020-05-02 21:18:54,98
55,Donny van de Beek,Manchester Utd,0,1,0,0.0,0.32,0.0,0.0,,13.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2020-12-09 10:32:03,14
56,Jude Bellingham,Dortmund ,0,6,1,16.7,1.6,0.27,0.0,0.0,19.5,0,0,0,0.5,0.5,0.08,-0.5,-0.5,2020-10-10 06:31:17,64
57,Darío Benedetto,Marseille ,0,5,1,20.0,1.74,0.35,0.0,0.0,16.0,0,0,0,0.7,0.7,0.14,-0.7,-0.7,2020-01-13 19:32:12,88
58,László Bénes,M'Gladbach ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-08-10 05:08:36,5
59,Ramy Bensebaini,M'Gladbach ,2,3,1,33.3,1.0,0.33,0.33,1.0,14.5,1,1,1,1.1,0.3,0.11,0.9,0.7,2020-12-19 10:34:53,59
60,Rodrigo Bentancur,Juventus ,0,4,1,25.0,0.94,0.24,0.0,0.0,22.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-04-22 04:12:28,72
61,Karim Benzema,Real Madrid,4,19,10,52.6,4.37,2.3,0.21,0.4,10.9,0,0,0,3.2,3.2,0.17,0.8,0.8,2020-05-03 19:44:05,87
62,Marcus Berg,Krasnodar ,2,9,4,44.4,1.59,0.71,0.11,0.25,13.4,0,1,1,2.6,1.8,0.2,-0.6,-0.8,2020-05-04 09:01:59,91
63,Mergim Berisha,RB Salzburg,4,17,9,52.9,3.24,1.72,0.24,0.44,15.1,1,0,0,3.1,3.1,0.18,0.9,0.9,2020-09-04 12:44:47,70
64,Federico Bernardeschi,Juventus ,0,7,1,14.3,4.81,0.69,0.0,0.0,15.3,0,0,0,1.0,1.0,0.14,-1.0,-1.0,2020-07-13 14:31:25,21
65,Miha Blai?,Ferencváros ,0,3,0,0.0,0.5,0.0,0.0,,27.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2020-11-27 00:25:58,76
66,Daley Blind,Ajax ,0,1,0,0.0,0.22,0.0,0.0,,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,2020-07-10 01:27:35,60
67,Jérôme Boateng,Bayern Munich,1,1,1,100.0,0.36,0.36,1.0,1.0,8.0,0,0,0,0.1,0.1,0.09,0.9,0.9,2020-10-05 10:07:29,38
68,Franck Boli,Ferencváros ,2,6,5,83.3,6.67,5.56,0.33,0.4,12.1,0,0,0,1.8,1.8,0.32,0.2,0.2,2020-11-10 14:46:20,90
69,Boli Bolingoli-Mbombo,Ba?ak?ehir ,0,1,0,0.0,0.24,0.0,0.0,,20.8,0,0,0,0.0,0.0,0.03,0.0,0.0,2020-11-06 14:25:47,1
70,Valerii Bondar,Shakhtar ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-01-25 02:16:29,64
71,Leonardo Bonucci,Juventus ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-08-04 00:14:05,77
72,Endre Botka,Ferencváros ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-04-27 17:56:53,76
73,Andreas Bouchalakis,Olympiacos ,0,5,0,0.0,1.08,0.0,0.0,,23.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2020-03-14 09:22:57,55
74,Yassine Bounou,Sevilla ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-09-14 15:22:12,13
75,Benjamin Bourigeaud,Rennes ,0,7,2,28.6,1.71,0.49,0.0,0.0,17.7,2,0,0,0.7,0.7,0.1,-0.7,-0.7,2020-07-23 03:30:19,90
76,Denys Boyko,Dynamo Kyiv,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-12-16 19:31:19,88
77,Martin Braithwaite,Barcelona ,3,6,3,50.0,2.51,1.26,0.33,0.67,11.7,0,1,1,2.4,1.6,0.27,0.6,0.4,2020-04-18 22:45:28,86
78,Julian Brandt,Dortmund ,0,2,0,0.0,0.92,0.0,0.0,,20.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-02-18 19:43:14,8
79,Brian Brobbey,Ajax ,0,1,1,100.0,2.0,2.0,0.0,0.0,7.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1,2020-04-30 10:04:53,17
80,Marcelo Brozovi?,Inter ,0,4,1,25.0,0.97,0.24,0.0,0.0,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,2020-06-29 01:44:33,8
81,Bruma,Olympiacos ,0,1,0,0.0,1.36,0.0,0.0,,16.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2020-01-28 01:25:06,71
82,Gianluigi Buffon,Juventus ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-25 13:00:44,64
83,Roman Bürki,Dortmund ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-01-05 15:42:52,99
84,Heorhiy Bushchan,Dynamo Kyiv,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-30 07:53:11,11
85,Sergio Busquets,Barcelona ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-11-06 12:14:31,52
86,Vitaliy Buyalskyi,Dynamo Kyiv,0,5,1,20.0,1.31,0.26,0.0,0.0,13.5,0,0,0,0.4,0.4,0.09,-0.4,-0.4,2020-06-30 00:28:30,54
87,Rémy Cabella,Krasnodar ,1,5,2,40.0,1.78,0.71,0.2,0.5,14.1,0,0,0,1.2,1.2,0.24,-0.2,-0.2,2020-02-18 00:06:44,28
88,Júnior Caiçara,Ba?ak?ehir ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-04-28 18:12:21,13
89,Felipe Caicedo,Lazio ,1,4,1,25.0,2.65,0.66,0.25,1.0,11.5,0,0,0,0.3,0.3,0.08,0.7,0.7,2020-02-11 01:03:37,7
90,Jens Cajuste,Midtjylland ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-12-01 04:40:29,92
91,Duje ?aleta-Car,Marseille ,0,2,0,0.0,0.5,0.0,0.0,,6.5,0,0,0,0.4,0.4,0.19,-0.4,-0.4,2020-06-22 22:30:41,38
92,Mohamed Camara,Olympiacos ,1,4,1,25.0,1.26,0.31,0.25,1.0,19.1,0,0,0,0.2,0.2,0.05,0.8,0.8,2020-09-20 12:37:31,42
93,Mohamed Camara,RB Salzburg,0,4,1,25.0,0.88,0.22,0.0,0.0,22.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-01-09 23:00:50,39
94,Eduardo Camavinga,Rennes ,0,5,2,40.0,1.37,0.55,0.0,0.0,27.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-04-06 01:24:09,12
95,Sergio Camello,Atlético Madrid,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-25 02:24:46,90
96,Emre Can,Dortmund ,0,2,0,0.0,1.65,0.0,0.0,,16.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2020-01-29 23:16:21,91
97,João Cancelo,Manchester City,1,5,3,60.0,1.49,0.89,0.2,0.33,20.9,0,0,0,0.3,0.3,0.06,0.7,0.7,2020-04-06 03:59:29,19
98,Diego Carlos,Sevilla ,0,10,1,10.0,1.67,0.17,0.0,0.0,11.8,0,0,0,1.0,1.0,0.1,-1.0,-1.0,2020-08-18 11:01:14,60
99,Yannick Carrasco,Atlético Madrid,1,11,4,36.4,3.02,1.1,0.09,0.25,19.2,1,0,0,0.8,0.8,0.07,0.2,0.2,2020-02-18 05:23:45,51
100,Dani Carvajal,Real Madrid,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-03-02 13:21:42,29
101,Casemiro,Real Madrid,1,6,1,16.7,1.37,0.23,0.17,1.0,26.8,0,0,0,0.7,0.7,0.11,0.3,0.3,2020-11-19 12:12:02,29
102,Danilo Cataldi,Lazio ,0,2,0,0.0,2.9,0.0,0.0,,31.5,1,0,0,0.1,0.1,0.06,-0.1,-0.1,2020-09-10 06:55:30,91
103,Edinson Cavani,Manchester Utd,0,4,1,25.0,1.73,0.43,0.0,0.0,21.0,0,0,0,0.5,0.5,0.12,-0.5,-0.5,2020-10-17 21:26:33,73
104,Murilo Cerqueira,Loko Moscow,0,3,0,0.0,0.6,0.0,0.0,,7.4,0,0,0,0.3,0.3,0.1,-0.3,-0.3,2020-02-06 18:27:12,88
105,Nacer Chadli,Ba?ak?ehir ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-01-06 21:27:17,2
106,Yevgeni Chernov,Krasnodar ,0,3,0,0.0,0.94,0.0,0.0,,14.8,0,0,0,0.2,0.2,0.07,-0.2,-0.2,2020-01-14 16:41:29,86
107,Giorgio Chiellini,Juventus ,0,1,0,0.0,0.83,0.0,0.0,,4.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,2020-12-22 01:53:28,53
108,Federico Chiesa,Juventus ,1,6,2,33.3,1.5,0.5,0.17,0.5,16.0,0,0,0,0.6,0.6,0.1,0.4,0.4,2020-05-16 16:40:49,90
109,Ben Chilwell,Chelsea ,0,3,2,66.7,0.84,0.56,0.0,0.0,9.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,2020-01-25 15:50:37,42
110,Andreas Christensen,Chelsea ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-09-22 13:32:07,47
111,Eldar ?ivi?,Ferencváros ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-14 20:47:14,52
112,Viktor Claesson,Krasnodar ,0,3,1,33.3,0.93,0.31,0.0,0.0,15.6,0,0,0,0.5,0.5,0.18,-0.5,-0.5,2020-10-19 07:00:54,12
113,Leighton Clarkson,Liverpool ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-06-11 12:13:48,23
114,Kingsley Coman,Bayern Munich,3,8,3,37.5,2.47,0.93,0.38,1.0,13.4,0,0,0,1.6,1.6,0.2,1.4,1.4,2020-06-26 13:48:20,98
115,Dion Cools,Midtjylland ,0,1,1,100.0,0.43,0.43,0.0,0.0,4.5,0,0,0,0.1,0.1,0.11,-0.1,-0.1,2020-06-25 05:10:09,41
116,Vedran ?orluka,Loko Moscow,0,1,1,100.0,0.22,0.22,0.0,0.0,9.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,2020-08-30 08:23:32,35
117,Jesús Corona,Porto ,0,1,0,0.0,0.23,0.0,0.0,,20.0,0,0,0,0.2,0.2,0.2,-0.2,-0.2,2020-01-24 16:07:06,76
118,Ángel Correa,Atlético Madrid,0,4,1,25.0,0.98,0.24,0.0,0.0,16.8,0,0,0,0.6,0.6,0.15,-0.6,-0.6,2020-11-19 16:04:49,13
119,Joaquín Correa,Lazio ,2,13,8,61.5,2.42,1.49,0.15,0.25,14.1,0,0,0,2.6,2.6,0.2,-0.6,-0.6,2020-07-04 00:05:55,93
120,Diogo Costa,Porto ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-04-07 23:28:34,45
121,Douglas Costa,Bayern Munich,0,3,1,33.3,1.18,0.39,0.0,0.0,17.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-12-16 12:03:03,99
122,Thibaut Courtois,Real Madrid,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-28 04:50:51,46
123,Philippe Coutinho,Barcelona ,1,6,1,16.7,4.03,0.67,0.17,1.0,20.5,0,0,0,0.3,0.3,0.05,0.7,0.7,2020-09-26 20:49:33,35
124,Enzo Crivelli,Ba?ak?ehir ,0,1,0,0.0,0.37,0.0,0.0,,7.0,0,0,0,0.2,0.2,0.2,-0.2,-0.2,2020-02-20 05:44:31,12
125,Juan Cuadrado,Juventus ,0,2,0,0.0,0.42,0.0,0.0,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2020-09-05 22:27:04,31
126,Mickaël Cuisance,Marseille ,0,1,0,0.0,0.38,0.0,0.0,,30.1,0,0,0,0.0,0.0,0.02,0.0,0.0,2020-05-01 01:09:24,9
127,Szymon Czy?,Lazio ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-04-24 23:34:22,56
128,Danilo D'Ambrosio,Inter ,0,1,0,0.0,0.29,0.0,0.0,,11.2,0,0,0,0.0,0.0,0.04,0.0,0.0,2020-01-01 21:48:42,4
129,Damien Da Silva,Rennes ,0,2,1,50.0,0.35,0.17,0.0,0.0,8.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-05-19 10:58:22,22
130,Colin Dagba,Paris S-G,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-06-01 22:56:04,58
131,Mahmoud Dahoud,Dortmund ,0,4,0,0.0,2.31,0.0,0.0,,25.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,2020-02-28 10:04:38,97
132,Patson Daka,RB Salzburg,0,9,3,33.3,3.95,1.32,0.0,0.0,14.2,0,0,0,1.4,1.4,0.16,-1.4,-1.4,2020-10-22 01:40:47,48
133,Danilo,Juventus ,0,5,1,20.0,0.94,0.19,0.0,0.0,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,2020-07-08 21:45:52,59
134,Matteo Darmian,Inter ,1,5,2,40.0,2.71,1.08,0.2,0.5,9.1,0,0,0,0.5,0.5,0.11,0.5,0.5,2020-07-04 06:33:42,50
135,Alphonso Davies,Bayern Munich,0,1,0,0.0,1.18,0.0,0.0,,17.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2020-09-04 18:39:47,34
136,Kevin De Bruyne,Manchester City,0,5,2,40.0,2.73,1.09,0.0,0.0,16.3,0,0,0,0.6,0.6,0.13,-0.6,-0.6,2020-07-29 00:24:41,6
137,Charles De Ketelaere,Club Brugge,2,10,3,30.0,1.97,0.59,0.2,0.67,11.5,0,0,0,2.3,2.3,0.25,-0.3,-0.3,2020-10-14 13:08:51,14
138,Konrad De La Fuente,Barcelona ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-09 13:13:46,1
139,Romain Del Castillo,Rennes ,0,1,0,0.0,0.68,0.0,0.0,,19.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2020-04-14 00:42:37,67
140,Thomas Delaney,Dortmund ,0,3,1,33.3,0.82,0.27,0.0,0.0,14.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,2020-02-18 17:12:55,12
141,Simon Deli,Club Brugge,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-15 10:42:03,56
142,Ousmane Dembélé,Barcelona ,3,11,6,54.5,4.63,2.52,0.18,0.33,19.3,0,1,1,2.0,1.2,0.11,1.0,0.8,2020-02-06 16:10:43,18
143,Merih Demiral,Juventus ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-24 02:08:48,92
